year,ori,dest,crash_city,crash_country,lat,lon,airline,death
1946,Hobart,Melbourne,Off Hobart,Tasmania,-42.881903,147.323814,Australian National Airways,25
1934,Launceston,Melbourne,Bass Strait,Australia,-40.0914903,145.9663909,Holyman Airways,11
1938,Adelaide,Melbourne,Mt. Dandenong,Australia,-37.831048,145.3617543,Australian National Airways,18
1940,Melbourne,Canberra,Near Canberra,Australia,-35.282,149.128684,Military - Royal Australian Air Force,10
1947,Test flight,No Record Found,Moron,Argentina,-34.6558611,-58.6167212,Flota A̩rea Mercante Argentina,2
1947,Buenos Aires,Natal,Natal,Argentina,-34.6462173,-58.4290238,Flota A̩rea Mercante Argentina,5
1934,Buenos Aires,Santiago,Junin,Argentina,-34.5885499,-60.949554,Panagra,5
1936,"Natal, Brazil","Bathhurst, Gambia",South AtlantiOcean,No Record Found,-33.72434,-15.996094,Deutsche Lufthansa,4
1946,"Bathrust,",Argentina,Bathurst,Gambia,-33.4176529,149.5810314,British South American Airways,24
1937,"Las Palmas, Canary Islands","Bathhurst, Gambia",Bathurst,Gambia,-33.4176529,149.5810314,Deutsche Lufthansa,4
1932,"Santiago, Chile","Mendosa, Argentina",Mount El Plomo,near Vitacura,-33.4035551,-70.5688043,Panagra,9
1937,Mendosa,Cordoba,San Luis,Argentina,-33.3017267,-66.3377522,Pan American Grace Airways,3
1933,"Mendoza, Argentina","Santiago, Chili",Near Mendoza,Argentina,-32.8894587,-68.8458386,Pan American Grace Airways,2
1937,Brisbane,Sidney,McPherson Ranges,Queensland,-28.3333333,153,Airlines of Australia,5
1947,Buenos Aires,Santiago,Andes,Argentina,-27.7882061,-64.2739241,British South American Airways,11
1938,Guanabara,Victoria,Guanabara,Brazil,-26.3204885,-48.8255373,Syndicato Condor,9
1945,"Chabau, India","Karachi, Pakistan",Himalayas,No Record Found,-24.791488,-65.4499197,Military - U.S. Army,44
1941,Porto Alegre,Rio de Janera,Near Sao Paulo,Brazil,-23.5505199,-46.6333094,Panair do Brasil,8
1946,London,Buenos Aires.,Near Rio de Janeiro,Brazil,-22.9068467,-43.1728965,FAMA (Argentina),21
1939,Miami,Rio de Janerio,Rio de Janerio,Brazil,-22.9068467,-43.1728965,Pan American World Airways,14
1940,Rio de Janeiro,Sao Paulo,Rio de Janeiro,Brazil,-22.9068467,-43.1728965,No Record Found,18
1946,Belo Horizonte,Rio de Janerio,Rio Doce,Brazil,-20.2448181,-42.896324,Panair do Brasil,25
1943,Townsville,Brisbane,Off Townsville,Australia,-19.3074497,146.7667477,Military - U.S. Air Force,27
1944,Merauke,No Record Found,Near Mossman,Queensland,-16.4607867,145.3734582,Military - Royal Netherlands East Indies Air Force,20
1943,"Santiago, Chili","Arequipa, Peru",Near Chaparra,Peru,-15.74447,-73.871483,Pan American Grace Airlines,14
1939,Katherine,Adelaide,Katherine,Australia,-14.4649669,132.2642561,Guinea Airways,4
1938,Honolulu,Pago Pago,Pago Pago,U.S. Samoa,-14.33166,-170.711503,Pan American World Airways,7
1942,Brisbane,Bachelor Field,Pine Creek,Australia,-13.8248434,131.8349128,Guinea Airways Limited,12
1944,Port Moreaby,Nadzab,New Guinea,No Record Found,-4.185235,136.8252838,Military - U.S. Army,21
1946,Guayaquil,Cuenca,Cuenca,Ecuador,-2.9001285,-79.0058965,ANDESA,30
1938,Kisumu,Alexandria,Kisumu,Kenya,-0.0917016,34.7679568,Imperial Airways,4
1947,Barranquilla,Bogota,Near Bogota,Colombia,4.7109886,-74.072092,AVIANCA,53
1934,Quiddo,Cartago,Pereira,Colombia,4.8087174,-75.690601,Pan American Airways (Scadta),5
1947,"Medellin, Colombia","San Jose, Costa Rica",Near Medellin,Colombia,6.2530408,-75.5645737,TACA,8
1947,Bogota,Barrancabermeja,Puesto Araujo,Colombia,6.51669,-74.09996,AVIANCA,17
1947,Villavicencio,Bogota,Cordillera,Colombia,6.83221,-75.92076,VIARCO,9
1946,Kano,Ikeja,Near Abeokuta,Nigeria,7.1453088,3.3590446,Military -Royal Air Force,18
1937,"Santiago, Chili","Cristobal, Panama",Off Cristobal,Panama,8.537981,-80.782127,Pan American Grace Airways,14
1946,Iloilo,Cebu,Negros,Philippines,9.7150631,122.8986812,Military - U.S. Army Air Forces,20
1936,Miami,Rio de Janeiro,Port of Spain,Trinidad,10.6549013,-61.5019256,Pan American Airways,3
1945,Miami,Leopoldville,Port of Spain,Trinidad,10.6549013,-61.5019256,Pan American World Airways,23
1938,Alameda,Manila,PacifiOcean between Manila and Guam,No Record Found,13.444304,144.793731,Pan American World Airways,15
1946,Grace Park AF,Lucena,Mt. Banahaur,Philippines,14.0675,121.4925,Far Eastern Air Transport,12
1946,"Kingston, Jamaca",San Jose,Caribbean,AtlantiOcean,14.525556,-75.818333,Winged Cargo Inc.,7
1945,Port of Spain,Fort de France,Fort de France,Martinique,14.6160647,-61.0587804,Pan American World Airways,4
1947,Lisbon,Dakar,Off Dakar,Senegal,14.7645042,-17.3660286,British South American Airways,6
1947,Karachi,Bombay,Korangi Creek,India,16.7967121,82.2252899,Air India,23
1942,Caomo,San Juan,Near Coamo,Puerto Rico,18.0787363,-66.3587056,Military - U.S. Army Air Forces,22
1941,Miami,Buenos Aires,San Juan,Puerto Rico,18.4655394,-66.1057355,Pan American World Airways,2
1931,Saigon,Karachi,Near Sandoway,Burma,18.4671203,94.3411001,Air Orient,4
1947,Puebla,Oaxaca,Near Puebla,Mexico,19.0412967,-98.2061996,Military - Mexican Air Force,21
1936,Mexico,Guatemala,Amemeca,Mexico,19.1223754,-98.7667481,Compania de Mexico,14
1938,Mexico City,Juarez,Balbuena,Mexico,19.3126928,-99.040554,Lineas A̩reas Mineras,1
1946,Mexico City,Veracruz,Near Cofre de Perote,Mexico,19.492,-97.15,Empressa Commun. A̩reas de Veracruz,15
1929,Santiago de Cuba,Havana,Santiago de Cuba,Cuba,20.01693,-75.8301537,Pan American Airways,2
1934,Santiago,Havana,Palma Soriano,Cuba,20.2218201,-75.9869609,Cubana de Aviacion,4
1929,Mexico City,Juarez,Cerro del Carbon,Mexico,20.403852,-97.2878798,Corp. Aeronautica de Transportes,4
1944,Antilla,Miami,Off Antilla,Cuba,20.832781,-75.842438,Pan American World Airways,17
1947,Dorango,Leon,Leon,Mexico,21.1250077,-101.6859605,Servicio A̩reo Panini,5
1934,"Omaha, NB","Kansas City, MO",Amazonia,Montana,21.1391916,-101.7616634,Rapid Air Transport,2
1937,"Rome, Italy",Kartoum,Wadi Halfa,Sudan,21.7991419,31.3713164,Ala Littoria,9
1946,Hong Kong,Singapore,Near Hong Kong International Airport,No Record Found,22.308047,113.9184808,Military - Royal Air Force,19
1945,Shanghai,Canton,Between Shanghi and Canton,China,23.12911,113.264385,China National Aviation Corporation,31
1940,Jask to Sharjah,No Record Found,Gulf of Oman,No Record Found,24.7142573,58.7373634,Imperial Airways,8
1945,Chongqing,Kunming,Near Kunming,China,24.880095,102.832892,China National Aviation Corporation,3
1944,Dijan,Kunming,Kunming,China,24.880095,102.832892,China National Aviation Corporation,6
1945,Kunming,Sichang,Kunming,China,24.880095,102.832892,China National Aviation Corporation,3
1945,Chabua,Karachi,Near Chuka,India,25.4263309,83.1179848,Military - U.S. Army Air Forces,44
1929,"London, England",India,Jask,Iran,25.6577006,57.7856677,Imperial Airways,3
1938,"Hanoi, Vietnam","Paris, France",Datia,India,25.6653262,78.4609393,Air France,7
1938,Test flight,No Record Found,Guadalupe,Mexico,25.6775595,-100.2596935,Mexicana,2
1936,Cochabamba,La Paz,Near Cordillera,Boliva,25.7653789,-100.365912,Lloyd Aereo Boliviano,13
1943,Kunming,Dinjan,Himalaya,China,25.7776833,-100.2481262,China National Aviation Corporation,3
1945,Kunming,Tengchung,Near Dinjan,India,27.5274157,95.2625477,China National Aviation Corporation,4
1944,Dinjan,Suifu,Near Sadiya,India,27.860175,95.6273951,China National Aviation Corporation,3
1945,Miami,Jacksonville,Lakeland,Florida,28.0394654,-81.9498042,National Airlines,2
1947,Newark,Miami,Melbourne,Florida,28.0836269,-80.6081089,Burke Air Transport,14
1932,Miami,Bimini,Off Miami,Florida,28.350488,-82.6928396,Bimini Airways,5
1943,Kunming,Assam,Luishui,China,28.46763,119.922796,China National Aviation Corporation,3
1937,Chicago,Daytona,Daytona Beach,Florida,29.2108147,-81.0228331,Eastern Air Lines,4
1947,Canton,Chungking,Chongqing,China,29.56301,106.551556,China National Aviation Corporation,19
1933,Big Springs,San Antonio,Bourne,Texas,29.7946641,-98.7319703,American Airways,1
1944,Kunming,"Chungking,",Kweilin,China,30.2098131,115.0325521,China National Aviation Corporation,2
1946,Shensi,Yenan,Near Shensi,China,30.3919172,120.1967231,No Record Found,14
1935,Jerusalem,Cairo,El Arish,Egypt,31.132093,33.8032762,Misrair,3
1935,Mirabella,Alexandria,Off Alexandria,Egypt,31.2000924,29.9187387,Imperial Airways,12
1946,Chunking,Shanghai,Between Chungking and Shanghai,China,31.230416,121.473701,China National Aviation Corporation,No Record Found
1930,Shanghai,Hankow,Shanghai,China,31.230416,121.473701,China National Aviation Corporation,4
1939,Rome,Rio de Janerio,Mogador,Morocco,31.5084926,-9.7595041,Linee Aeree Italiane,7
1939,"Casablanca, Morocco","Dakar, Senegal",Near Marrakech,Morocco,31.6294723,-7.9810845,Air France,9
1947,New York City,Dallas,Near El Paso,Texas,31.7618778,-106.4850217,American Airlines,0
1947,Shanghai,Hankow,Near Hankow,China,32.0547771,118.7686301,China National Aviation Corporation,25
1946,Shanghai,Nanking,Near Nanking,China,32.060255,118.796877,Military - Chinese Air Force,20
1935,"New Orleans, LA","Mobile, AL",Off Chandeleur Island,Mississippi,32.3546679,-89.3985283,Wedell-Williams Air Service Corporation,2
1945,"Midland, TX","Nashville, TN",Sweetwater,Texas,32.4709519,-100.4059384,Military - U.S. Army Air Forces,25
1929,Tijuana,Nogales,Jacumba,California,32.61768,-116.1874241,Pickwick Airways,1
1932,El Paso,Dallas,Salt Flats,Texas,32.633487,-97.0783134,American Airways,3
1946,Dallas,Tucon,Live Oak Springs,California,32.6906137,-116.334462,American Airlines,27
1946,Guam,Iwo Jima,North PacifiOcean,No Record Found,32.694866,-162.070312,Military - U.S. Army Air Forces,23
1947,Kodiak,Dutch Harbor,North PacifiOcean,No Record Found,32.694866,-162.070312,Military - U.S. Navy,20
1946,Holtville,San Diego,Near San Diego,California,32.715738,-117.1610838,Western Airlines,12
1929,San Diego,Phoenix,San Diego,California,32.715738,-117.1610838,Maddux Airlines / Military - U.S.Army Air Force,6
1935,Dallas,Atlanta,Near Gilmer,Texas,32.7287472,-94.9424379,Delta Air Lines,4
1935,Dallas,Waco,Near Fort Worth,Texas,32.7554883,-97.3307658,Braniff Airlines,1
1936,Test flight,No Record Found,Near Dallas,Texas,32.7766642,-96.7969879,Braniff Airways,6
1946,"St. Mawan, England","Almaza, Egypt",Near Tripoli,Libya,32.8872094,13.1913383,Military -Royal Air Force,25
1930,"Aqua Caliente, Mexico",Los Angeles,Oceanside,California,33.1958696,-117.3794834,Maddux Airlines,16
1936,"Chicago, IL","Oklahoma City, OK",Denton,Texas,33.2148412,-97.1330683,American Airlines,1
1938,Medford,Oakland,Off Point Reyes,California,33.2480578,-117.3232823,United Air Lines,7
1946,New York City,"Birmingham, AL",Birmingham,Alabama,33.5206608,-86.80249,Pennsylvania Central Airlines,3
1941,New York City,Washington D.C.,Atlanta,Georgia,33.7489954,-84.3879824,Eastern Air Lines,9
1942,Palm Springs,New York City,Palm Springs,California,33.8302961,-116.5452921,American Airlines / Military - USAF,12
1946,Paris,Casablanca,Near Sefrou,Morocco,33.8305244,-4.8353154,Air Ocean,16
1940,Test flight,No Record Found,El Segundo,California,33.9191799,-118.4164652,Douglas Aircraft Company,5
1929,Los Angeles,Phoenix,Near Beaumont,California,33.9294606,-116.977248,New Standard Airlines,4
1932,"Phoenix, AZ","Los Angeles, CA",Calimesa,California,34.0039039,-117.0619755,American Airways,7
1947,Cairo,Basrah,Az-Zubair,Iran,34.0489281,-111.0937311,British Overseas Airways,6
1934,San Bernardion,Los Angeles,San Bernardino,California,34.1083449,-117.2897652,United Air Services,3
1935,"Burbank, CA","Salt Lake City, UT",Burbank,California,34.1808392,-118.3089661,Western Air Express,3
1934,Mexico,Burbank,Burbank,California,34.1808392,-118.3089661,Aerevias Centrales Air Service,1
1945,New York City,"Juarez, Mexico",Burbank,California,34.1808392,-118.3089661,American Airlines,24
1931,San Diego,Los Angeles,Burbank,California,34.1808392,-118.3089661,PacifiAir Transport,2
1932,San Diego,Burbank,Burbank,California,34.1808392,-118.3089661,PacifiAir Transport,3
1944,San Francisco,Burbank,Van Nuys,California,34.1898566,-118.451357,Trans Continental and Western Air,9
1945,Boston,NY,Near Florence,South Carolina,34.1954331,-79.7625625,Eastern Air Lines / Military - U.S. Army Air Corps,3
1945,Miami,New York City,Florence,South Carolina,34.1954331,-79.7625625,Eastern Air Lines,22
1936,Oakland,San Francisco,Newhall,California,34.3847198,-118.5308652,United Air Lines,12
1937,Salt Lake City,Burbank,Near Newhall,California,34.3847198,-118.5308652,Western Air Express,5
1938,"Burbank,",St. Paul,Near Saugus,California,34.4113854,-118.5400858,Northwest Orient Airlines,9
1932,"Little Rock, AR","Memphis, TN",Marianna,Arkansas,34.7737082,-90.7576112,Hunter Airways,2
1943,Pope Field,Maxton,Red Springs,North Carolina,34.8151633,-79.183091,Military - U.S. Army Air Forces,20
1946,Palmdale,Burbank,Lebec,California,34.8416435,-118.8648189,Western Airlines,11
1932,San Francisco,Bakersfield,Lebec,California,34.8416435,-118.8648189,Century PacifiLines,8
1936,"Newark, NJ","Fort Worth, TX",Goodwin,Arkansas,34.9381496,-91.0209529,American Airlines,17
1930,"Burbank, CA","Oakland, CA",Techachapi Mountains,California,34.95,-118.58,PacifiAir Transport,3
1947,Karachi,Istanbul,Al Mayadin,Syria,35.0160783,40.44654,Pan American World Airways,14
1944,Little Rock,Memphis,Memphis,Tennessee,35.1495343,-90.0489801,American Airlines,24
1930,Casablanca,Bahat,La Rache,Morocco,35.1744271,-6.1473964,Aeropostale,4
1929,Albuquerque,Los Angeles,Mt. Taylor,New Mexico,35.2386491,-107.6081575,Trans Continental Air Transport,8
1947,"Charlotte, NC","Gainsville, GA",Sylva,North Carolina,35.3737111,-83.2259803,Stratofreight,3
1939,Chicago,Dallas,Oklahoma City,Oklahoma,35.4675602,-97.5164276,Braniff Airlines,8
1947,San Francisco,Chicago,Gallup,New Mexico,35.5280783,-108.7425843,American Airlines,0
1937,Belgian Congo,Brussels,Oran,Algeria,35.6976541,-0.6337376,Sabena,12
1944,England,"Long Island, N.Y.",North AtlantiOcean,No Record Found,35.746512,-39.462891,Military - U.S. Army Air Forces,26
1945,"Montreal, Canada",England,North AtlantiOcean,No Record Found,35.746512,-39.462891,Military -Royal Air Force,15
1943,Nashville,Memphis,Near Centerville,Tennessee,35.7789565,-87.4669587,American Airlines,15
1939,Egypt,England,Off Malta-Luqa,No Record Found,35.880334,14.4852504,Imperial Airways,5
1947,Shanghai,Tsingtao,Tsingtao,China,36.067108,120.382609,China National Aviation Corporation,38
1939,Alcante,Morocco,South of Gibraltar,No Record Found,36.140751,-5.353585,Iberia Airlines,10
1942,Las Vegas,Los Angeles,Near Las Vegas,Nevada,36.1699412,-115.1398296,Trans Continental and Western Air,22
1934,"Louisville, KY","Nashville, TN",Sunbright,Tennessee,36.2434093,-84.6699442,American Airlines,1
1947,Sichang,Chungking,Chungking,China,36.2540236,120.3990921,Military - Chinese Air Force,21
1946,Meshed,Teheran,Meshed,Iran,36.2604623,59.6167549,Aeroflot,24
1944,San Francisco,New York City,Hanford,California,36.3274502,-119.6456844,Trans Continental and Western Air,24
1948,Algiers,Biskra,Near Palestro,Algeria,36.5662811,3.5913939,Transport Comp. Algerienne de T.A.,9
1933,Canton,Shanghi,Near Tsinan,China,36.651216,117.12,China National Aviation Corporation,8
1931,Nanking,Peiking,Near Tsinan,China,36.651216,117.12,China National Aviation Corporation,3
1947,"Akron, OH","Winston/Salem, NC",Near Galax,Virginia,36.6612387,-80.9239671,Eastern Air Lines,18
1945,New York City,Los Angeles,Marion,Virginia,36.8348383,-81.5148368,American Airlines,17
1940,Chungking,Kunming,Near Changyi,China,36.85882,119.398525,China National Aviation Corporation,9
1943,Cleveland,Memphis,Trammel,Kentucky,37.0145499,-82.2937534,American Airlines,20
1942,Battle Creek,"Florence, SC",Near Premier,West Virginia,37.4223352,-81.6437197,Military - U.S. Army Air Forces,21
1938,San Francisco,Burbank,Near Wawona,Cailifornia,37.5368803,-119.6562684,Trans Continental and Western Air,9
1946,Richmond,Atlanta,Richmond,Virginia,37.5407246,-77.4360481,Viking Air Transport,27
1937,Los Angeles,San Francisco,Off San Francisco,California,37.5993593,-122.3867096,United Air Lines,11
1936,"El Paso, TX","Pueblo, CO",Walsenberg,Colorado,37.6241793,-104.7802645,Varney Air Lines,3
