year,origin,dest,crash_city,crash_country,lat,long,death,airline
1939,Alcante,Morocco,South of Gibraltar,,36.140751,-5.353585,10,Iberia Airlines
1942,Las Vegas,Los Angeles,Near Las Vegas,Nevada,36.1699412,-115.1398296,22,Trans Continental and Western Air
1934,"Louisville, KY","Nashville, TN",Sunbright,Tennessee,36.2434093,-84.6699442,1,American Airlines
1947,Sichang,Chungking,Chungking,China,36.2540236,120.3990921,21,Military - Chinese Air Force
1946,Meshed,Teheran,Meshed,Iran,36.2604623,59.6167549,24,Aeroflot
1944,San Francisco,New York City,Hanford,California,36.3274502,-119.6456844,24,Trans Continental and Western Air
1948,Algiers,Biskra,Near Palestro,Algeria,36.5662811,3.5913939,9,Transport Comp. Algerienne de T.A.
1933,Canton,Shanghi,Near Tsinan,China,36.651216,117.12,8,China National Aviation Corporation
1931,Nanking,Peiking,Near Tsinan,China,36.651216,117.12,3,China National Aviation Corporation
1947,"Akron, OH","Winston/Salem, NC",Near Galax,Virginia,36.6612387,-80.9239671,18,Eastern Air Lines
1945,New York City,Los Angeles,Marion,Virginia,36.8348383,-81.5148368,17,American Airlines
1940,Chungking,Kunming,Near Changyi,China,36.85882,119.398525,9,China National Aviation Corporation
1943,Cleveland,Memphis,Trammel,Kentucky,37.0145499,-82.2937534,20,American Airlines
1942,Battle Creek,"Florence, SC",Near Premier,West Virginia,37.4223352,-81.6437197,21,Military - U.S. Army Air Forces
1938,San Francisco,Burbank,Near Wawona,Cailifornia,37.5368803,-119.6562684,9,Trans Continental and Western Air
1946,Richmond,Atlanta,Richmond,Virginia,37.5407246,-77.4360481,27,Viking Air Transport
1937,Los Angeles,San Francisco,Off San Francisco,California,37.5993593,-122.3867096,11,United Air Lines
1936,"El Paso, TX","Pueblo, CO",Walsenberg,Colorado,37.6241793,-104.7802645,3,Varney Air Lines
1947,Los Angeles,New York City,Bryce Canyon,Utah,37.6283161,-112.1676947,53,United Air Lines
1933,Burbank,San Francisco,Hayward,California,37.6688205,-122.0807964,3,Varney Airlines
1931,"Oakland, CA","Seattle, WA",Oakland,California,37.8043637,-122.2711137,4,PacifiAir Transport
1941,"Kansas City, MO",New York,Near Robertson,Missouri,37.9409422,-93.4010371,2,Trans Continental and Western Air
1947,Istanbul,Athens,Near Mt. Hymettus,Greece,37.9463889,23.8166667,44,AB Aerotransport
1931,Kansas City,Wichita,Bazaar,Kansas,38.2719604,-96.5352854,8,Trans Continental and Western Air
1936,New Orleans,Chicago,St. Louis,Missouri,38.6270025,-90.1994042,8,Chicago Southern Airlines
1932,Training,,Saint Louis,Illinois,38.6270025,-90.1994042,2,Century Air Lines
1943,New York City,Lisbon,Lisbon,Portugal,38.7222524,-9.1393366,25,Pan American World Airways
1947,Paris,Bordeaux,Near Lisbon,Portugal,38.7222524,-9.1393366,15,Air France
1948,Atlanta,Washington D.C.,Oxon Hill,Maryland,38.8034468,-76.9896975,5,Eastern Air Lines
1945,"Washington, D.C.","New York, Ny",Washington D.C.,,38.9071923,-77.0368707,6,Page Airways
1947,"New York, NY","Raleigh, NC",Harrington,Delaware,38.9237244,-75.5777033,1,International Air Freight
1934,"Kansas City, MO","Chicago, IL",Columbia,Missouri,38.9517053,-92.3340724,1,Braniff Airlines
1946,"Flint, MI","Washville, IL",Walshville,Illinois,39.07088,-89.6189784,2,Kansas City Southern Skyways
1930,Wichita,"Kansas City, KS",Kansas City,Kansas,39.114053,-94.6274636,5,Central Airlines
1947,Pittsburgh,Washington D.C.,Leesburg,Virginia,39.1156615,-77.5636015,50,Pennsylvania Central Airlines
1947,Training,,Delaware Bay,New Jersey,39.1201705,-75.2479061,4,Trans Continental and Western Air
1943,Hawaii,San Francisco,Ukiah,California,39.1501709,-123.2077831,19,Pan American World Airways
1940,Washington D.C.,Detroit,Near Lovettsville,Virginia,39.2726017,-77.636657,25,Pennsylvania Central Airlines
1946,Topeka,Denver,Goodland,Kansas,39.350833,-101.7101722,13,Military - U.S. Army Air Corps
1946,"Stockton, CA","Ogden, UT",Hobart Mills,California,39.4004621,-120.183811,26,Military - U.S. Army Air Forces
1947,Miami,Raleigh,Carmel,New Jersey,39.4342818,-75.1212927,3,Nationwide Air Transport
1947,Newark,Baltimore,Port Deposit,Maryland,39.6048327,-76.1152289,53,Eastern Air Lines
1945,Pittsburgh,Morgantown,Morgantown,West Virginia,39.629526,-79.9558968,20,Pennsylvania Central Airlines
1947,"Omaha, NE","Denver, CO",Denver,Colorado,39.7392358,-104.990251,2,Slick Airways
1934,Omaha,St. Joseph,Amazonia,Missouri,39.8861052,-94.891913,5,Rapid Air Transport
1935,Los Angeles,Albuquerque,Atlanta,Missouri,39.898646,-92.4810208,5,Trans Continental and Western Air
1936,Newark,Los Angeles,Uniontown,Pennsylvania,39.900076,-79.7164326,13,Trans Continental and Western Air
1945,Hankou,Peking,Near Peking,China,39.904211,116.407395,59,Military - U.S. Army Air Forces
1931,"Port Colombus, OH","Louisville, KY",Springfield,Ohio,39.9242266,-83.8088171,4,American Airways
1931,"Newark, NJ","Camden, NJ",Camden,New Jersey,39.9259463,-75.1196199,5,"NY, Phil., Washington AW"
1934,"St. Louis, MO","Chicago, IL",Petersburg,Illinois,40.0117151,-89.8481652,4,American Airways
1946,AtlantiCity,Newark,Lakehurst,New Jersey,40.014561,-74.3112574,4,AtlantiCentral Airlines
1937,Frankfurt,Lakehurst N.J.,Lakehurst,New Jersey,40.014561,-74.3112574,35,Deutsche Zeppelin Reederei
1947,Havana,Lisbon,Pedro Bernardo,Spain,40.2426072,-4.9097818,12,Aerovias Cuba International
1942,Salt Lake,Las Vegas,Fairfield,Utah,40.2621714,-112.0929961,17,Western Airlines
1947,Tihua,Lanzhou,Near Yumen,China,40.291843,97.045679,26,Military - Chinese Air Force
1946,Training flight,,Reading,Pennsylvania,40.3356483,-75.9268747,5,Trans Continental and Western Air
1932,Columbus,McKeesport,Steubenville,Ohio,40.3697905,-80.6339638,1,Trans Continental and Western Air
1929,Cleveland,Louisville,Mount Vernon,Ohio,40.3933956,-82.4857181,1,Continental Air Lines
1935,"Newark, NJ","Columbus, OH",Pittsburgh,Pennsylvania,40.4406248,-79.9958864,1,Trans Continental and Western Air
1938,Channel Islands,Southhampton,Channel Islands,Jersey,40.6051035,-73.6279072,14,Jersey Airways
1937,India,London,Brindisi Harbor,Italy,40.6327278,17.9417616,2,Imperial Airways
1946,Cairo,Rome,Off Amalfi,Italy,40.6340026,14.6026805,30,Military - U.S. Army Air Forces
1936,"Newwark, N.J.","Buffalo, NY",Pavillon,New York,40.6382101,-74.0787683,2,American Airlines
1947,Catania,Rome,Ravello,Italy,40.6491886,14.6117112,20,Trafik-Turist-Transportflyg
1943,Wendover Field,Pocatello AAB,Lakeside,Utah,40.653788,-112.7625703,25,Military - U.S. Army Air Forces / Military - U.S. Army Air Forces
1938,Cagliari,Rome,Off Sardinia,Italy,40.7126296,8.5236143,20,Ala Littoria
1947,New York,Buffalo,New York,New York,40.7127837,-74.0059413,3,American Airlines
1945,Philadelphia,New York City,New York City,New York,40.7127837,-74.0059413,1,Eastern Air Lines
1930,"Albany, NY","Jersey City, NJ",Jersey City,New Jersey,40.7281575,-74.0776417,4,Canadian Colonial Airways
1937,Cheyenne,Salt Lake City,Haydens Peak,Wyoming,40.7346687,-110.8437819,19,United Air Lines
1929,Sightseeing,,Newark,New Jersey,40.735657,-74.1723667,14,Colonial Western Airlines
1933,Test flight,,Newark,New Jersey,40.735657,-74.1723667,2,Eastern Air Transport
1936,Burbank,Las Vegas,Near Salt Lake City,Utah,40.7607793,-111.8910474,7,Western Air Express
1934,Salt Lake City,Cheyenne,Near Salt Lake City,Utah,40.7607793,-111.8910474,8,Boeing Aircraft Company
1942,San Francisco,New York City,Salt Lake City,Utah,40.7607793,-111.8910474,17,United Air Lines
1938,Sightseeing,,Montnago,Italy,40.7710051,9.6510118,13,Macchi
1947,New York City,Cleveland,La Guardia Airport,Queens,40.7769271,-73.8739659,43,United Air Lines
1946,New York City,San Francisco,Elko,Nevada,40.8324211,-115.7631232,21,Trans-Luxury Airlines
1940,Oakland,Salt Lake City,Near Centerville,Utah,40.9180005,-111.8721601,10,United Air Lines
1939,Test flight,,Near Adler,Washington,40.9653217,-74.0519917,10,Boeing Aircraft Company
1935,Salt Lake City,Cheyenne,Near Cheyenne,Wyoming,41.1399814,-104.8202462,12,United Air Lines
1946,San Francisco,Cheyenne,Cheyenne,Wyoming,41.1399814,-104.8202462,2,United Air Lines
1935,Test flight,,Cheyenne,Wyoming,41.1399814,-104.8202462,4,United Air Lines
1931,Kansas City,Chicago,Kewanee,Illinois,41.2455927,-89.9248303,2,Braniff Airways
1937,Newark,Camden,Clifton,Pennsylvania,41.2509919,-75.5393155,13,Trans Continental and Western Air
1947,Rome,Cairo,Off Terracina,Italy,41.2963728,13.2332657,16,Military - Corrieri Aerei Militari
1946,Oakland,Chicago,Laramie,Wyoming,41.3113669,-105.5911007,13,National Air Transport Services
1936,"Miami, FL","Charleston, SC",Near Milford,Pennsylvania,41.322316,-74.8023882,14,Eastern Air Lines
1939,"Toulouse, France","Casablanca, Morocco",Barcelona,Spain,41.3850639,2.1734035,7,Deutsche Lufthansa
1946,Chicago,Cleveland,Cleveland,Ohio,41.49932,-81.6943605,2,United Air Lines
1938,Newark,Cleveland,Cleveland,Ohio,41.49932,-81.6943605,10,United Air Lines
1946,Teterboro,Chicago,Moline,Illinois,41.5067003,-90.5151342,2,Trans Luxury Airlines
1946,New York,Boston,Cheshire,Connecticut,41.5083668,-72.9106202,17,Eastern Air Lines
1933,Cleveland,Chicago,Chesterton,Indiana,41.6105937,-87.0641992,10,United Air Lines
1945,France,Athens,Near Picinisco,Italy,41.648291,13.866845,20,Military - U.S. Army Air Forces
1946,Buffalo,Chicago,Michigan City,Indiana,41.7075394,-86.8950297,2,American Airlines
1930,"Newark, NJ","Hartford, CT",Hartford,Connecticut,41.7637111,-72.6850932,1,Colonial Air Transport
1933,Paris,Morroco,Viladrau,Spain,41.8477765,2.3904096,6,Aeropostale - La Tecoere Company
1931,Chicago,Detroit,Chicago,Illinois,41.8781136,-87.6297982,2,Braniff Airlines
1940,New York City,Chicago,Chicago,Illinois,41.8781136,-87.6297982,10,United Air Lines
1935,Chicago,St. Louis,Maywood,Illinois,41.8791979,-87.8431155,2,Chicago and Southern Airlines
1936,Marseille,Tunis,Off Ajaccio,Corsica,41.919229,8.738635,6,Air France
1934,New York,Chicago,Mongaup Mountain,New York,41.9909235,-74.6840456,7,American Airways
1932,Chicago,Kalamazoo,Marcellus,Michigan,42.0258779,-85.8155576,1,Transamerican Airlines
1932,Rockford,"Chicago, IL",Colvin Park,Ilinois,42.13806,-88.78333,1,Northwest Airways
1948,Athens,Nice,Mt. Argentari,Italy,42.398333,11.142778,12,Pan African Air Charter
1935,Helena,Denver,Near Glendo,Wyoming,42.5027467,-105.0260832,3,Aero Mayflower Transit Co
1941,New York,Buffalo,St. Thomas,Ontario,42.7777214,-81.1826527,20,American Airlines
1944,"Bruning, NB","Pierre, SD",Naper,Nebraska,42.96361,-99.0967626,28,Military - U.S. Army Air Forces
1935,Sightseeing,,Flint,Michigan,43.0125274,-83.6874562,3,Knowles Flying Service of Detroit
1947,Marseille,Lyon,Near Gemenos,France,43.295388,5.628112,2,Air France
1938,"Marseille, France","Ajaccio, Corsica",Marseille,France,43.296482,5.36978,8,Air France
1930,"Paris, France","London, England",Near Neufchatel,France,43.356673,6.695973,3,Imperial Airways
1938,Sioux Lookout,Hudson,North Pine,Ontario,43.7291661,-90.5906492,1,General Airways
1947,Training,,Newcastle,Delaware,43.850056,-104.1932301,5,Trans Continental and Western Air
1946,Boise,Denver,Mt. Elk,Wyoming,44.3369083,-107.2603464,21,United Air Lines
1941,"Bucharest , Romania","Sofia, Bulgaria",Bucharest,Romania,44.4267674,26.1025384,15,LARES
1947,Constanta,Bucharest,Bucharest,Romania,44.4267674,26.1025384,3,Transporturile Aeriene Romano-Sovietice
1947,Bucurest,Prague,Phouznicie,Romania,44.4271997,26.1255311,13,TARS
1943,Bombing run,,Ploesti,Romania,44.936664,26.0128616,10,Military - U.S. Army Air Forces
1929,St. Paul,Minneapolis,St. Paul,Minnesota,44.9537029,-93.0899578,1,Northwest Orient Airlines
1947,Lyons,Nice,Mt. Moucherolles,France,45.004949,5.564012,23,Air France
1936,Turin,Milan,Near Turin,Italy,45.070312,7.6868565,7,Avio Linee Italiane
1945,Athens,Naples,Near Boccadi,Italy,45.4337307,12.336833,24,Military - U.S. Army Air Forces
1944,"Montreal, Canada",European air base,Montreal,Canada,45.5016889,-73.567256,16,Military - Royal Air Force
1933,"Seattle, WA","Dallas, TX",Portland,Oregon,45.5230622,-122.6764816,4,United Air Lines
1938,Seattle,Billings,Bozeman,Montana,45.6769979,-111.0429339,10,Northwest Orient Airlines
1931,Portland,Pasco,Bluff Mountain,Washington,45.7423372,-122.1900892,1,Varney Air Lines
1945,"Newark, N.J.","Seattle, WA",Near Billings,Montana,45.7832856,-108.5006904,17,Military - U.S. Army
1938,Seattle,Chicago,Billings,Montana,45.7832856,-108.5006904,10,Northwest Orient Airlines
1945,India,"Cambridge, England",Near Rochefort,France,45.936698,-0.961697,28,Military -Royal Air Force
1946,Paris,Toulouse,St Leger-la-Montagne,France,46.029218,1.418574,23,CTA LanguedoRoussillon
1947,Paris,Vichy,Vichy,France,46.131859,3.425488,1,Aero Cargo
1937,"Southhampton, England","Alexandria, Egypt",Near Ouroux,France,46.231418,4.593407,5,Imperial Airways
1931,"Portland, WA","Pasco, WA",Pasco,Washington,46.2395793,-119.1005657,1,Varney Air Lines
1939,Chicago,Seattle,Miles City,Montana,46.4083362,-105.8405582,4,Northwest Orient Airlines
1942,Chicago,Seattle,Miles City,Montana,46.4083362,-105.8405582,3,Northwest Orient Airlines
1935,"Milan, Italy",Amsterdam,Pian Giacomo,Switzerland,46.4158854,9.2237105,13,KLM Royal Dutch Airlines
1946,"Miramar NAS, California","Sand Point NB, Seattle",Toledo,Washington,46.4398305,-122.846783,32,Military - U.S. Marine Corps
1941,Minneapolis,Fargo,Near Moorhead,Minnesota,46.8737648,-96.7678039,14,Northwest Orient Airlines
1934,Saigon,Paris,Corbigny,France,47.257618,3.684328,14,Air France
1944,Stuttgart,Barcelona,Near Dijon,France,47.322047,5.04148,9,Deutsche Lufthansa
1929,Bremerton,,Off Bremerton,Washington,47.5673202,-122.6329356,2,Bremerton-Seattle Air Taxi / Gorst Air Lines
1947,Anchorage,Seattle,Seattle,Washington,47.6062095,-122.3320708,8,Alaska Airlines
1943,Test flight,,Seattle,Washington,47.6062095,-122.3320708,10,Private - Boeing Aircraft Company
1939,"Vienna, Austria","Zurich, Switzerland",Konstanz,Switzerland,47.6779496,9.1732384,6,Swissair
1945,London,Cairo,Rennes,France,48.117266,-1.6777926,26,Military - Royal Air Force
1946,Gander,Shannon,Stephenville,Newfoundland,48.5479718,-58.5815353,39,American Overseas Airlines
1939,Zurich,Geneva,Paris,France,48.856614,2.3522219,5,Swissair
1946,Paris,Croydon,Le Bourget,France,48.936752,2.425377,20,Air France
1946,Brussels,Shannon,Near Gander,Newfoundland,48.954408,-54.6103488,27,Sabena
1938,"Berlin, Germany","Paris, France",Pontoise,France,49.050966,2.100645,3,Deutsche Lufthansa
1942,New York,Botwood,Botwood,Newfoundland,49.1422983,-55.3440853,11,American Export Airlines
1931,Cologne,Saarbrucken,Saarbrucken,Germany,49.2401572,6.9969327,4,Deutsche Lufthansa
1947,Lethbridge,Vancouver,Near Vancouver,British Columbia,49.2827291,-123.1207375,15,Trans Canada Air Lines
1930,Prague,Brun,Iglau,Czechoslovakia,49.4227569,15.563998,10,Ceskoslovenske Aerolinie
1930,"Cardington, England","Karachi, Pakistan",Near Beauvais,France,49.4295387,2.0807123,48,Military - British Air Ministry
1937,Berlin,Mannheim,Mannheim,Germany,49.4874592,8.4660395,10,Deutsche Lufthansa
1946,"Comox, BC","Greenwood,NS",Crowsnest Pass,Alberta,49.5908749,-114.523843,7,Mililtary - Royal Canadian Air Force
1945,England,Brussels,Roye,France,49.697797,2.788831,31,Military -Royal Air Force
1931,Winnigeg,Moosejaw,Bagot,Manitoba,49.968341,-98.628957,2,Western Canada Airways
1933,Test flight,,Near Kharkov,Ukraine,49.9935,36.230383,14,Kalinin
1946,Paris,Prauge,Near Prague,Czechoslovakia,50.0987034,14.4317705,10,Ceskoslovenske Aerolinie
1938,"Milan, Italy","Frankfurt, Germany",Frankfurt,Germany,50.1109221,8.6821267,6,Deutsche Lufthansa
1934,"Dieppe, France","New Haven, England",English Channel,,50.134664,-0.357056,6,Air France
1944,"Twinwood, England","Villacoublay, France",English Channel,,50.134664,-0.357056,3,Military - U.S. Army Air Forces
1930,Calgary,Moosejaw,Southesk,Saskatchewan,50.3273805,-102.2640528,3,Western Canada Airways
1938,Winnipeg,Regina,Regina,Saskatchewan,50.4452112,-104.6188944,2,Trans Canada Air Lines
1937,Amsterdam,Paris,Hal,Belgium,50.73757,4.23251,15,KLM Royal Dutch Airlines
1946,Brussels,Croydon,Brussels,Belgium,50.8503396,4.3517103,1,Sabena
1936,Frankfurt,Erfurt,Near Tabarz,Germany,50.8784811,10.5115698,11,Deutsche Lufthansa
1945,Belgium,India,Melsbroek,Belgium,50.91535,4.4787175,31,Military -Royal Air Force
1933,"Cologne, Germany","Croydon, England",Near Dixmude,Belgium,51.033331,2.8658393,15,Imperial Airways
1933,"Brussels, Belgium","Croydon, England",Near Ruysselede,Belgium,51.0413098,3.3970513,10,Imperial Airways
1930,Berlin,Vienna,Dresden,Germany,51.0504088,13.7372621,8,Deutsche Lufthansa
1947,London,Bordeaux,Near Lympne,England,51.075215,1.025608,8,British Overseas Airways
1937,Cologne,Brussels,Ostende,Belgium,51.21543,2.928656,11,Sabena
1929,Amsterdam,Croyden,Near Godstone,Surrey,51.247571,-0.067578,7,Deutsche Lufthansa
1945,England,Prague,Elvetham,England,51.2966867,-0.8693995,23,Military -Royal Air Force
1935,"Brussels, Belgium","Croydon, England",Croydon,England,51.376165,-0.098234,11,Sabena
1936,Croydon,Amsterdam,Croydon,England,51.376165,-0.098234,15,KLM Royal Dutch Airlines
1934,"Croydon, England","Paris, France",Croydon,England,51.376165,-0.098234,2,Air France
1947,Guangzhou,Chongqing,Croydon,Surrey,51.376165,-0.098234,12,Spencer Airways / Ceskoslovenske Aerolinie
1935,"Praha, Czechoslovakia","Amsterdam, Netherlands",Brilon,Germany,51.3982179,8.5749432,7,KLM Royal Dutch Airlines
1938,Brussells,Berlin,Soest,Germany,51.5711476,8.105754,20,Sabena
1943,Lisbon,Foynes,Brandon Head,Ireland,52.2741667,-10.2497222,12,British Overseas Airways
1938,Berlin,Amsterdam,Schiphol,Amsterdam,52.3076865,4.7674241,6,KLM Royal Dutch Airlines
1935,Amsterdam,Sweden,Amsterdam,Netherlands,52.3702157,4.8951679,6,KLM Royal Dutch Airlines
1938,Instructional Flight,,Amsterdam,Netherlands,52.3702157,4.8951679,4,KLM Royal Dutch Airlines
1946,London,Amsterdam,Amsterdam,Netherlands,52.3702157,4.8951679,26,KLM Royal Dutch Airlines
1939,Berlin,Hanover,Hannover,Germany,52.3758916,9.7320104,7,Deutsche Lufthansa
1946,Paris,Shannon,Near Shannon,Ireland,52.7124708,-8.8730676,13,Trans Continental and Western Air
1947,Goose Bay,"Westover Field, MS",Near Goose Bay,Labrador,52.9718068,-60.2964313,23,Military - U.S. Air Force
1944,Liverpool,New York,Birkenhead,England,53.389991,-3.023009,24,Military - U.S. Army Air Forces
1935,Koenigberg,Berlin,Stettin,Germany,53.4285438,14.5528116,11,Deruluft
1933,Berlin,Hamburg,Hamburg,Germany,53.5510846,9.9936818,7,Deutsche Lufthansa
1945,Ridgewell,Nutts Corner,North Barrule,Isle of Man,54.2833333,-4.4,31,Military - U.S. Air Force
1938,Prague,"Paris, France",Kiel,Germany,54.3232927,10.1227652,16,CSA Czech Airlines
1944,Bristol,Preswick,Port Logan,Scotland,54.723977,-4.956053,22,Military - U.S. Army Air Forces
1947,Seattle,Juneau,Annette Island,Alaska,55.1209294,-131.4855123,18,Pan American World Airways
